learner_id,course_id,quiz_score,engagement_score,content_type
L00001,agjkMHIhEfCdeA7VR_Iplw,23.4,69.9,
L00001,Axwi2MCtEeedJRJjt8USWA,30.2,45.7,
L00001,F263hLDmEeqU_BKxEWcVww,44.0,49.8,
L00001,h054Q6NQEeuDgAowKXa1Bw,68.0,69.4,
L00001,K5lH3Ux-Ee6sKRKbt-9kcQ,47.2,67.1,
L00001,rrwg7U_hEeeJLwqVUE8j_g,57.9,90.8,
L00002,V2hOPkdyEey7lA4KBiJhDQ,69.5,80.4,
L00002,poOp98Z-Ee-21A5KKJdafQ,64.1,48.3,
L00002,I3YEDMSkEeyZlw5yhMZTYQ,37.7,82.9,
L00002,bYjmJnEtEe-uqRL6e5om0w,44.3,69.2,
L00003,tTHehaJuEe2Y8Q7-OL3uUQ,63.6,51.7,
L00003,l6yIV6kqEeyjPxJkzIUqCw,74.9,78.9,
L00003,QAzkbDGwEeWNuhKLAhom_w,39.5,97.8,
L00004,wtpywliKEeyOjwqcMrh_EQ,49.7,67.2,
L00004,Q-U8K1-iEeyGyBIIdSsL5w,96.3,100.0,
L00005,BbaAnufDEe-mrRK-FPQYAw,89.8,80.3,
L00005,piI3I3igEeeogw6Liqr3Tg,45.6,89.7,
L00005,0y0BADm8Ee2skBJ6qkJn8w,70.8,61.5,
L00005,Fz7GOiRGEeekPQ79xWJ6-A,64.2,100.0,
L00005,VTXiMg0aEe-SXg6EFTZuww,65.6,69.9,
L00005,HuyizibGEfChkRLiydouaQ,100.0,90.7,
L00005,0CWsGNG6EeWlbgqNCYymGw,100.0,80.6,
L00005,kiBvcQe8Ee-SXg6EFTZuww,75.2,78.7,
L00005,RntcnH5aEe6hyw4UDDa2MQ,74.5,79.2,
L00005,--brbbnkEe2oxw5qVgw_VQ,69.4,57.7,
L00005,DaK_AW1DEe6ZoQ5WeLvw3w,62.9,49.9,
L00005,XLIWjSPAEeuVrhKFjkWrKw,84.4,55.8,
L00005,gzpyyIrJEe-Prw4pgRltBQ,94.0,98.6,
L00005,JqRWYR9_EeW5Rwo0txKkgQ,77.0,67.7,
L00005,UvXwNjRnEe-6tAr__zzCRw,49.4,77.4,
L00006,ktJdY32gEem5dwqh2xoWMg,69.3,74.2,
L00006,eZmZV2hZEeyQuAqyaULE4w,62.4,66.0,
L00006,9LtpT4ioEe6MPhKdk1Dpfw,59.9,75.8,
L00007,hHSZ4rtwEe-LvhIuPUA7nw,41.4,43.1,
L00007,GayzhaJvEeuDgAowKXa1Bw,41.5,8.6,
L00008,tXPkPG2NEeyQuAqyaULE4w,0.7,31.6,
L00008,FDTFdUJoEfClyxI_Dgx85Q,37.0,37.7,
L00008,RAWOnlkWEeydIxKChA98fQ,36.2,66.6,
L00008,klB3AqkqEeyxDg4ukgkVlw,54.2,67.4,
L00009,iGe5fKFzEeifzhK3rDYKlA,37.5,69.7,
L00009,q2v1cAdNEe-knBIDDnXmpw,37.1,59.8,
L00010,yM_mx7wHEea7HhLAXRS5cg,75.6,86.3,
L00010,GkZD_FPmEe6IbQrAzcxKLw,74.9,81.6,
L00010,ILrlaeTrEe2nnBJXwaSqgQ,71.9,77.4,
L00010,cX-gHAB_Ee6DSxIncU2N0w,78.7,72.4,
L00010,Uhdtew7TEe-F5Ar_6pGsqw,100.0,76.8,
L00010,Lo1aqJJMEe-5Cgr_15u7UQ,72.4,90.8,
L00010,BeFioUoKEe-LJA6-o-C_Pw,100.0,87.8,
L00010,acQIFRBEEe-F5Ar_6pGsqw,91.3,88.5,
L00010,8Vhj4vh_Ee2fnxIInyWU6Q,89.4,100.0,
L00010,XbFqowWwEeaTLxJ5oq26aw,90.4,100.0,
L00010,cmhUFz3LEe-9Ig7qA4dB5w,100.0,71.9,
L00010,8H8wFp3KEeWoKRLkmmHLTQ,86.6,95.8,
L00010,6kJB4FcxEfCekhJDthqyWw,100.0,70.5,
L00010,RTnmcszqEe6bkA7BMk6-Yw,82.0,84.6,
L00011,Nvww8X0fEe-ibgr_ziH3XQ,50.3,57.7,
L00014,vVlb1QPDEe6_HQ6d4X2wNQ,69.0,57.8,
L00015,bYFq0gDXEe2FUAphC_7O7w,18.5,100.0,
L00015,Y4fM0QojEeyfCRK_crecDw,60.8,56.8,
L00015,8K9bbo2MEeWeogpSJNat4w,84.0,100.0,
L00015,novpoz15Ee2C9xKboNgcdQ,78.2,25.0,
L00015,JhRINts_Ee6fcwr_8ZRNUw,100.0,85.1,
L00015,cT5NL4ysEeWhEhKsLakOmQ,57.9,91.7,
L00018,p_so-L9AEeyInQ4kvXUz6Q,64.9,66.8,
L00018,NXcHSUH1Ee6xgBLkbK2sIw,30.3,100.0,
L00018,yjLQ0rRzEe2MNRLdxpojNw,72.1,68.2,
L00018,c7bYv0ITEfC6-g6hfV5HWQ,56.5,89.0,
L00018,uCVwm1ADEe-SdxJ_Axw1wQ,32.6,95.0,
L00018,wPolI88hEemmpg7Oq2Di7A,80.7,69.9,
L00018,0ChQcyNVEe-I1wr_7a5dgw,49.1,82.1,
L00020,K6eKOP5VEe-ehwr_ziEUiw,83.0,77.2,
L00020,TmuXRhJWEea8fxLSgUgxeQ,77.2,70.5,
L00020,lwVoPEP-EeuVrwrlQzvd6w,62.8,68.9,
L00021,qyI8dn0IEeuV5Q4JzJFoXQ,90.8,19.7,
L00021,n5lOaf83EeqlbQ4m_-mMqw,42.3,35.5,
L00023,4CxHAMKeEemQwxIslTT-fg,80.6,78.8,
L00023,0duqb-jIEey2_Q6za-RBgQ,63.7,70.6,
L00023,F5IIkY2jEeW-ng7WVUsFiQ,64.9,79.8,
L00023,lLNDQewyEe6Q5Qr_6JE8HQ,56.2,84.3,
L00023,v53rXm34EfCdeA7VR_Iplw,74.9,69.2,
L00023,SjM4qbblEe2RFw58751QMQ,65.9,63.4,
L00024,kwAkkj3PEfCO_gr_yN6pEQ,63.7,78.5,
L00024,j1jVFa0XEe2fwxIAdw5Cyw,60.1,89.7,
L00024,7eBsnGDPEfCy5w726iKh0Q,77.1,90.2,
L00024,N1IiQ4-VEeqqOhJwEK9AFw,77.1,83.7,
L00024,yGzRJSWJEeWs4gorU6Q1Yw,98.5,84.1,
L00024,ZfoEmcQiEe6kghKtIX5xRw,85.6,80.4,
L00024,my9Lfn2vEe2QHRL3YiV0EQ,87.0,89.9,
L00024,FXw_o-9uEe-sAw4IUmNkyw,100.0,87.8,
L00024,K4eYfU1aEeWigQ4Vtn6olw,92.9,82.5,
L00024,C9T2cxgjEeuWFBKXbYUaVw,100.0,78.6,
L00024,K6DsWDizEeuwYApeStDZOw,89.6,90.6,
L00024,wGhoXiMiEeuBKxKy0yCFlw,89.5,94.9,
L00024,Dc0o-TO5Ee-H2BLw-oHycQ,100.0,85.0,
L00024,3sQ1zVofEe2PtBKBaydVNQ,94.5,80.2,
L00026,W8EVjFcdEeq7ExJlNovaDw,79.3,98.5,
L00026,YrIthbYUEe-dwg4HQ74J2Q,58.3,95.4,
L00026,wPolI88hEemmpg7Oq2Di7A,89.1,87.2,
L00026,Iy7vHCWmEeyErhKbHHnlUQ,58.2,77.1,
L00026,7PSabL7HEeS4HiIACxCr5g,86.2,62.7,
L00026,2vl_C6kpEeyjPxJkzIUqCw,84.9,72.3,
L00026,4etaNmEgEe-IJwr_9LLznw,59.9,90.0,
L00026,vz5B1mqcEeeKABJwpbbkfA,79.3,67.3,
L00028,LxKLxAXWEfC3TQ5GC5VyRw,85.7,31.1,
L00028,tMo47kogEeeMtBKozo_2UA,100.0,100.0,
L00029,aFyVeBSlEeyr3gqAhLc9dw,10.6,35.3,
L00030,pvq7BC_TEfCejw7oO7eUXw,44.0,78.0,
L00030,o2yM52IGEe62wwrYx-2qTQ,76.9,66.1,
L00030,Z5Yl4xTMEeyr3gqAhLc9dw,64.2,91.6,
L00030,dcPCP4NeEeu82xKTBdGGow,74.4,55.7,
L00031,SC3Uo7fsEeuVARITHCE31Q,76.7,68.7,
L00031,gkSRJG8DEe2FvRLslR-h4Q,82.8,89.5,
L00031,-tKnUD8MEe24ihI2NeLiww,73.7,78.6,
L00032,fQHSXWGXEeyIUg4Qv2RsBQ,50.5,81.7,
L00033,8NECvJxUEe-YGxLgAnnuGQ,61.0,76.1,
L00033,VMGWgCN5EeuF6RLLcL5oKQ,33.2,50.0,
L00033,QpigqGcxEeyxLxJK4mLviw,62.3,61.4,
L00034,OlN4rbfmEeiV3hLuYXLyZg,64.0,88.1,
L00034,wQ1XWdifEe2j9w737iT0hw,32.5,77.7,
L00034,s33LSJrSEe-dyg4jT90KDQ,64.0,57.0,
L00035,ajzMQhTLEe662RIaNL_zRQ,75.2,84.4,
L00035,Lx5ydaOfEeW2ORLv1OUyFQ,15.0,62.7,
L00036,beyc3y8fEfCE_gr_3b7Bww,55.2,83.6,
L00036,tTHehaJuEe2Y8Q7-OL3uUQ,79.3,71.2,
L00036,gZ6cbKKkEeW1Bw7HN8tFsw,44.9,55.4,
L00036,-8cOpydnEeaTvRKF2VtmxQ,59.6,70.8,
L00037,VeZckA23Ee2Y5w6RJi54eQ,45.4,63.1,
L00038,xyLJl3YnEeu0DQqwkTi7iQ,35.0,35.8,
L00040,uncdOA1eEe-PZgr_4p5lOw,82.5,72.2,
L00040,PPL-IKkuEeywagovoAKHOQ,72.7,89.8,
L00040,upu594Z3EeuuVxILgxt9Nw,67.0,83.9,
L00040,hdyPNBajEfCc8Q4nSGC5tQ,64.7,95.7,
L00040,qmPPMp_HEe6HhQ7Sr6yy3Q,58.6,84.6,
L00041,kz96riq5EeyavRI3rIvGvQ,59.6,97.3,
L00041,1Etlv-DYEeqwLg6LDIwD1Q,60.9,81.1,
L00041,QhzT43JaEeqScBK87oSN6Q,62.3,38.6,
L00041,FweAQa8pEeyiqQr1qP1QDw,64.8,82.7,
L00041,nhmhj52zEe2L_wpgKckryw,65.5,72.6,
L00042,NTw8YypDEe-OFRLljw7zQQ,24.5,68.0,
L00043,GzNPRtwWEeqQew6daMPmjw,66.1,66.3,
L00044,a4B0XeShEeutMhLqB6BFnw,60.7,56.1,
L00044,D81y5D1OEe6mFRIdB0-Bcw,86.6,80.0,
L00044,WLJ6osnaEe-LvhIuPUA7nw,51.9,58.6,
L00044,CPE6BqkqEeyxDg4ukgkVlw,93.9,75.4,
L00044,JeLlgicBEeyxgAr51Gjbpw,71.0,63.0,
L00044,CISBOptyEeqywwraCMpBEw,52.6,80.9,
L00044,uTM3JKkoEeyxDg4ukgkVlw,65.4,63.1,
L00045,uT8tPA7aEfC_-w572D3gsw,53.4,83.6,
L00046,6IJQDdfIEe-jmAr_5feSQQ,54.4,65.9,
L00046,ROHM4G0aEe6tnQrK3yNnuQ,66.7,70.6,
L00047,O7GPMFNhEe-JFA5QVkNq4w,79.9,60.5,
L00047,jG8qZPRiEeu_hgpiK6yFCw,58.6,74.7,
L00048,UVxX6FzzEfCdDhJt6L1Wkw,58.2,34.6,
L00048,K03LXHH1EfC7eQr_-0caDw,78.9,76.0,
L00049,WACd9stYEe65Mwqc6CotZw,64.2,88.9,
L00049,hIX2bMF5Ee-ADgr_3OZlyQ,71.1,47.8,
L00049,I3MKFTq0Ee6PABLgKXk5yQ,88.7,58.0,
L00049,1b9VUDu6EeWdUgozVKt3nw,59.8,32.7,
L00049,jQmnNEh4Ee-mywr_6bZvLw,51.8,78.5,
L00049,mhIa_rZjEe-sywr_75D7Fw,69.7,57.0,
L00049,H7QOTaItEeWm9xJA1YXcWQ,52.4,38.9,
L00049,o2pPHGFLEfC0aBLgb0yDNQ,98.4,64.7,
L00050,8VPATQmGEe-knBIDDnXmpw,57.3,77.8,
L00051,K4Ob9ITkEe-HnxIaoRsVow,31.2,100.0,
L00052,WQpeWmnqEe--dw7PPVphLw,68.0,83.4,
L00052,MW2pZj4yEey2HhKRvGWgpQ,64.0,79.8,
L00052,MV0AxsgNEeqNwgqa2N6Pzw,57.8,63.4,
L00052,HHVZrNYWEeyBrQ7e8kzA9w,51.6,100.0,
L00052,4kzThz0jEe-9Ig7qA4dB5w,42.2,44.5,
L00052,AM_kT_nmEeqXwg6KzSTevw,62.3,50.9,
L00052,m44UPXQvEfCXBxJiu3-4_w,99.4,88.0,
L00054,CpFAL1StEe2HYQ674WURew,66.9,91.2,
L00054,tXdcUqeJEe26Cg4gAKFmwQ,68.8,82.1,
L00054,hpasH4-2EeaNrQrkg4diMQ,59.5,61.5,
L00054,GHhkynNMEeWKsgrp3VnvAw,78.9,76.6,
L00056,NQp-V3jDEe6AfxJZ3ZVmGQ,74.9,35.1,
L00056,WgwOOyX0EeyErhKbHHnlUQ,49.2,57.3,
L00057,iYhNQAZrEeqJ6Q7f9hTL-Q,63.8,62.5,
L00058,9NqXImONEfCy5w726iKh0Q,58.5,74.5,
L00059,qD3a1ulDEe2idwokHO9n2w,57.3,83.5,
L00059,u2HYbbzvEeyjBhKbu4asXQ,68.6,46.5,
L00059,2vl_C6kpEeyjPxJkzIUqCw,97.2,75.4,
L00059,vwpmLE1YEeeLKxKORFYW1g,79.2,82.0,
L00060,KR_LM6TVEeqCbQ4n-DXNkQ,56.7,33.0,
L00060,GnSuec4_Ee65Mwqc6CotZw,47.5,52.3,
L00062,7vasMEd_EeW8cBKtDAegYw,59.5,79.0,
L00063,bG4hY9X1EeeiOg7RPq0TXg,76.2,31.9,
L00063,3ESV_HwiEfCbig5Qd2coyw,88.9,37.3,
L00063,oyZiRj2BEeyZlQoNyXy15Q,61.5,93.9,
L00064,QNdqXZqNEe-rwhIp96UKPw,55.5,78.4,
L00065,gni-lkeREeaNmhKFnqHOVQ,69.7,83.2,
L00065,mWViY2ahEe6C8Aq3MM882w,72.5,78.0,
L00065,p6YbnputEeq8sxJ8GGZFeQ,73.1,78.1,
L00065,HuyizibGEfChkRLiydouaQ,67.4,88.6,
L00065,3QpIg-wgEeyLcA5hHZ0Uxw,62.1,83.9,
L00065,sxMQEV4hEeSF2SIACy-E9A,100.0,78.5,
L00065,wFc3FhwIEeyf4Ar-aygVCw,86.4,90.9,
L00065,zwqURwiiEeahpQ5cgS1w4w,79.6,64.2,
L00065,au5XIq3UEe2udBJHHBiBTw,93.2,100.0,
L00065,eqPcQJ4tEe6rhw5hPGAU4Q,74.7,100.0,
L00065,3de7HPEEEe6mTA4J116vUw,62.5,86.3,
L00066,RPS7gi1HEeyRZwruZfI_ww,81.1,88.8,
L00066,FkAMrrwEEey8ogoy0lwspQ,76.5,100.0,
L00066,vU4CeqTaEeW2ORLv1OUyFQ,85.9,75.9,
L00066,1qWfTgx1Ee-PZgr_4p5lOw,100.0,74.4,
L00066,tCJFUTd5Ee-xLxIpRr2Opw,72.8,75.7,
L00067,3mYHbQqBEey5zQ4LqE3elQ,70.1,75.3,
L00067,vuhMUF8GEeyIUg4Qv2RsBQ,70.2,86.4,
L00067,ETIiTjRmEe2OTg6-ghpzvQ,71.0,74.7,
L00067,f9Rc9TxxEfCvexL6Zx2PNQ,83.0,93.9,
L00067,Zc6mX_LsEe-lDA7RWcxbZw,78.5,85.1,
L00067,spEK1qipEem5rRK9OOkIhA,84.6,67.9,
L00067,65UpJWhEEe6vIRJJdXRzxQ,88.5,74.8,
L00068,YOf5CkJEEfClyxI_Dgx85Q,67.5,51.8,
L00069,zUFl3XEiEeWKsgrp3VnvAw,66.8,40.0,
L00070,65KPw75dEe2f_QqiHmxYNQ,78.6,97.0,
L00070,CUoSW5qCEe-dyg4jT90KDQ,84.9,85.0,
L00070,AbQO8UyrEe6tRQ7_HCl3rw,81.7,96.4,
L00070,h6uFyFlhEfCt0wr_8L_7mQ,80.6,78.3,
L00071,SqmLPbZREeaqPQ5tUH5EoA,80.2,82.8,
L00071,j3px0zZjEeqn1ArcdaOjuQ,26.5,65.1,
L00071,FiGgYTzMEeyZlQoNyXy15Q,77.2,82.0,
L00071,jYd91UquEeWpQA4vMed_oQ,80.4,49.7,
L00072,c65t7ToZEfCxwxJQM9bC_Q,54.6,70.8,
L00073,3gQHDu4zEeqdeRLl46i_Pw,67.2,75.9,
L00073,0usveKkyEeywagovoAKHOQ,77.7,87.5,
L00073,EpADDSi1EemtrBK0C0a3Mg,96.5,89.7,
L00073,DbK9KapPEe6DtA6TNFYzNQ,85.9,80.5,
L00073,zt1DHnr0Ee6NOgp3b3opmQ,69.1,50.6,
L00073,YBUWyz9YEe24ihI2NeLiww,94.8,80.4,
L00074,2Ua66XCSEey4uArRczA0dw,93.9,75.0,
L00074,gWMcK055Ee-mywr_6bZvLw,96.9,87.1,
L00074,WztCkXpwEe6NOgp3b3opmQ,59.8,9.1,
L00074,cf2g0EA6Eeu8SQoz66ejcQ,64.8,87.3,
L00074,2g7bdO-KEeWTgg7cwVeSqQ,100.0,72.9,
L00075,aaNZKGGrEfCy5w726iKh0Q,61.9,100.0,
L00075,7DUGHubPEe2wDAr4TXBGnQ,85.2,80.9,
L00075,ivgbMpn-EeqXSQrw8x-rLQ,84.5,96.0,
L00075,b1t9qLE2Eey9shJZYT6JZw,80.4,74.4,
L00075,Vbo7EFjOEe-nXw4I7PxBow,87.9,74.7,
L00075,iXq6zSWTEeWs4gorU6Q1Yw,94.4,91.5,
