learner_id,course_id,course_name,course_domain,course_difficulty,archetype,course_number,enrollment_date,quiz_score,engagement_score,time_spent_hours,completed,learner_skill_level
L00001,agjkMHIhEfCdeA7VR_Iplw,Unknown,,intermediate,steady_learner,1,2025-07-28,23.4,69.9,7.7,False,0.0
L00001,Axwi2MCtEeedJRJjt8USWA,Unknown,,intermediate,steady_learner,2,2025-08-22,30.2,45.7,5.0,True,0.0
L00001,F263hLDmEeqU_BKxEWcVww,Unknown,,intermediate,steady_learner,3,2025-10-20,44.0,49.8,4.0,True,0.09067437648274271
L00001,h054Q6NQEeuDgAowKXa1Bw,Unknown,,intermediate,steady_learner,4,2025-10-25,68.0,69.4,7.5,True,0.2225583907794982
L00001,K5lH3Ux-Ee6sKRKbt-9kcQ,Unknown,,intermediate,steady_learner,5,2025-11-14,47.2,67.1,7.8,False,0.4266076426543777
L00001,rrwg7U_hEeeJLwqVUE8j_g,Unknown,,intermediate,steady_learner,6,2025-11-16,57.9,90.8,8.3,True,0.4266076426543777
L00002,V2hOPkdyEey7lA4KBiJhDQ,Unknown,,intermediate,steady_learner,1,2025-04-20,69.5,80.4,7.1,True,0.0
L00002,poOp98Z-Ee-21A5KKJdafQ,Unknown,,intermediate,steady_learner,2,2025-05-16,64.1,48.3,5.8,True,0.20855272314435866
L00002,I3YEDMSkEeyZlw5yhMZTYQ,Unknown,,intermediate,steady_learner,3,2025-05-26,37.7,82.9,8.5,False,0.40086831070027584
L00002,bYjmJnEtEe-uqRL6e5om0w,Unknown,,intermediate,steady_learner,4,2025-06-04,44.3,69.2,5.5,True,0.40086831070027584
L00003,tTHehaJuEe2Y8Q7-OL3uUQ,Unknown,,intermediate,steady_learner,1,2025-01-25,63.6,51.7,5.6,True,0.0
L00003,l6yIV6kqEeyjPxJkzIUqCw,Unknown,,intermediate,steady_learner,2,2025-01-29,74.9,78.9,7.5,True,0.1908682059512117
L00003,QAzkbDGwEeWNuhKLAhom_w,Unknown,,intermediate,steady_learner,3,2025-03-01,39.5,97.8,10.9,True,0.41542679525725357
L00004,wtpywliKEeyOjwqcMrh_EQ,Unknown,,intermediate,steady_learner,1,2025-03-31,49.7,67.2,7.7,True,0.0
L00004,Q-U8K1-iEeyGyBIIdSsL5w,Unknown,,intermediate,steady_learner,2,2025-04-09,96.3,100.0,8.6,True,0.1491649398441342
L00005,BbaAnufDEe-mrRK-FPQYAw,Unknown,,intermediate,steady_learner,1,2025-04-03,89.8,80.3,8.5,True,0.0
L00005,piI3I3igEeeogw6Liqr3Tg,Unknown,,intermediate,steady_learner,2,2025-04-23,45.6,89.7,8.3,False,0.26938090024197653
L00005,0y0BADm8Ee2skBJ6qkJn8w,Unknown,,intermediate,steady_learner,3,2025-06-18,70.8,61.5,6.0,True,0.26938090024197653
L00005,Fz7GOiRGEeekPQ79xWJ6-A,Unknown,,intermediate,steady_learner,4,2025-06-26,64.2,100.0,9.3,True,0.4817793966541819
L00005,VTXiMg0aEe-SXg6EFTZuww,Unknown,,intermediate,steady_learner,5,2025-08-23,65.6,69.9,6.5,True,0.6742650029641402
L00005,HuyizibGEfChkRLiydouaQ,Unknown,,intermediate,steady_learner,6,2025-08-26,100.0,90.7,10.8,True,0.8711665490221117
L00005,0CWsGNG6EeWlbgqNCYymGw,Unknown,,intermediate,steady_learner,7,2025-09-20,100.0,80.6,8.2,True,1.1711665490221117
L00005,kiBvcQe8Ee-SXg6EFTZuww,Unknown,,intermediate,steady_learner,8,2025-10-10,75.2,78.7,9.1,True,1.4711665490221117
L00005,RntcnH5aEe6hyw4UDDa2MQ,Unknown,,intermediate,steady_learner,9,2025-12-13,74.5,79.2,8.4,True,1.6968402003275846
L00005,--brbbnkEe2oxw5qVgw_VQ,Unknown,,intermediate,steady_learner,10,2026-01-21,69.4,57.7,6.2,False,1.9201938359396493
L00005,DaK_AW1DEe6ZoQ5WeLvw3w,Unknown,,intermediate,steady_learner,11,2026-04-05,62.9,49.9,5.7,True,1.9201938359396493
L00005,XLIWjSPAEeuVrhKFjkWrKw,Unknown,,intermediate,steady_learner,12,2026-05-20,84.4,55.8,5.2,True,2.0
L00005,gzpyyIrJEe-Prw4pgRltBQ,Unknown,,intermediate,steady_learner,13,2026-06-21,94.0,98.6,10.9,True,2.0
L00005,JqRWYR9_EeW5Rwo0txKkgQ,Unknown,,intermediate,steady_learner,14,2026-08-06,77.0,67.7,6.0,False,2.0
L00005,UvXwNjRnEe-6tAr__zzCRw,Unknown,,intermediate,steady_learner,15,2026-08-28,49.4,77.4,7.1,True,2.0
L00006,ktJdY32gEem5dwqh2xoWMg,Unknown,,intermediate,focused_specialist,1,2025-05-15,69.3,74.2,8.2,True,0.0
L00006,eZmZV2hZEeyQuAqyaULE4w,Unknown,,intermediate,focused_specialist,2,2025-05-23,62.4,66.0,6.2,True,0.20787519033817495
L00006,9LtpT4ioEe6MPhKdk1Dpfw,Unknown,,intermediate,focused_specialist,3,2025-06-09,59.9,75.8,6.6,True,0.3951367030188955
L00007,hHSZ4rtwEe-LvhIuPUA7nw,Unknown,,intermediate,explorer,1,2025-07-14,41.4,43.1,3.8,True,0.0
L00007,GayzhaJvEeuDgAowKXa1Bw,Unknown,,intermediate,explorer,2,2025-07-14,41.5,8.6,1.0,False,0.1242692017189258
L00008,tXPkPG2NEeyQuAqyaULE4w,Unknown,,intermediate,explorer,1,2025-10-14,0.7,31.6,2.7,False,0.0
L00008,FDTFdUJoEfClyxI_Dgx85Q,Unknown,,intermediate,explorer,2,2025-10-28,37.0,37.7,3.1,False,0.0
L00008,RAWOnlkWEeydIxKChA98fQ,Unknown,,intermediate,explorer,3,2025-12-31,36.2,66.6,7.4,False,0.0
L00008,klB3AqkqEeyxDg4ukgkVlw,Unknown,,intermediate,explorer,4,2026-01-18,54.2,67.4,7.3,False,0.0
L00009,iGe5fKFzEeifzhK3rDYKlA,Unknown,,intermediate,struggling_learner,1,2025-03-23,37.5,69.7,7.8,True,0.0
L00009,q2v1cAdNEe-knBIDDnXmpw,Unknown,,intermediate,struggling_learner,2,2025-07-17,37.1,59.8,4.9,False,0.11242750338297187
L00010,yM_mx7wHEea7HhLAXRS5cg,Unknown,,intermediate,high_achiever,1,2025-03-09,75.6,86.3,10.0,True,0.0
L00010,GkZD_FPmEe6IbQrAzcxKLw,Unknown,,intermediate,high_achiever,2,2025-03-24,74.9,81.6,9.8,True,0.22671472931408893
L00010,ILrlaeTrEe2nnBJXwaSqgQ,Unknown,,intermediate,high_achiever,3,2025-04-01,71.9,77.4,6.8,True,0.4512857241633448
L00010,cX-gHAB_Ee6DSxIncU2N0w,Unknown,,intermediate,high_achiever,4,2025-05-01,78.7,72.4,8.5,True,0.6669841306886116
L00010,Uhdtew7TEe-F5Ar_6pGsqw,Unknown,,intermediate,high_achiever,5,2025-05-30,100.0,76.8,7.9,True,0.9029913259744959
L00010,Lo1aqJJMEe-5Cgr_15u7UQ,Unknown,,intermediate,high_achiever,6,2025-07-09,72.4,90.8,9.6,True,1.202991325974496
L00010,BeFioUoKEe-LJA6-o-C_Pw,Unknown,,intermediate,high_achiever,7,2025-07-09,100.0,87.8,9.3,True,1.420137620030295
L00010,acQIFRBEEe-F5Ar_6pGsqw,Unknown,,intermediate,high_achiever,8,2025-07-20,91.3,88.5,8.1,True,1.7201376200302951
L00010,8Vhj4vh_Ee2fnxIInyWU6Q,Unknown,,intermediate,high_achiever,9,2025-08-08,89.4,100.0,9.2,True,1.993933978677895
L00010,XbFqowWwEeaTLxJ5oq26aw,Unknown,,intermediate,high_achiever,10,2025-08-12,90.4,100.0,10.5,True,2.0
L00010,cmhUFz3LEe-9Ig7qA4dB5w,Unknown,,intermediate,high_achiever,11,2025-09-04,100.0,71.9,7.3,True,2.0
L00010,8H8wFp3KEeWoKRLkmmHLTQ,Unknown,,intermediate,high_achiever,12,2025-09-19,86.6,95.8,9.6,True,2.0
L00010,6kJB4FcxEfCekhJDthqyWw,Unknown,,intermediate,high_achiever,13,2025-09-29,100.0,70.5,8.3,True,2.0
L00010,RTnmcszqEe6bkA7BMk6-Yw,Unknown,,intermediate,high_achiever,14,2025-11-06,82.0,84.6,10.0,True,2.0
L00011,Nvww8X0fEe-ibgr_ziH3XQ,Unknown,,intermediate,explorer,1,2025-06-01,50.3,57.7,5.3,True,0.0
L00014,vVlb1QPDEe6_HQ6d4X2wNQ,Unknown,,intermediate,focused_specialist,1,2025-09-11,69.0,57.8,6.2,True,0.0
L00015,bYFq0gDXEe2FUAphC_7O7w,Unknown,,intermediate,explorer,1,2025-10-09,18.5,100.0,11.1,False,0.0
L00015,Y4fM0QojEeyfCRK_crecDw,Unknown,,intermediate,explorer,2,2025-10-09,60.8,56.8,4.7,True,0.0
L00015,8K9bbo2MEeWeogpSJNat4w,Unknown,,intermediate,explorer,3,2025-12-18,84.0,100.0,11.8,True,0.18233504025848749
L00015,novpoz15Ee2C9xKboNgcdQ,Unknown,,intermediate,explorer,4,2025-12-22,78.2,25.0,2.2,True,0.4342497260402085
