course_id,skill_id,confidence
C0001,regression,0.9
C0001,spss,0.6
C0001,logistic_regression_models,0.6
C0002,compute_engine_applications,0.6
C0002,resources,0.6
C0002,chrome_enterprise_premium,0.6
C0010,sql,0.9
C0010,amazon_rds,0.6
C0010,mysql,0.6
C0010,database_migration_service,0.6
C0011,vital_signs,0.6
C0011,the_body,0.6
C0013,code,0.6
C0013,gemini,0.6
C0013,bigquery,0.6
C0016,amazing_macros,0.6
C0016,affinity_photo,0.6
C0022,surveymonkey,0.6
C0022,a_survey,0.6
C0022,results,0.6
C0023,sql,0.9
C0023,data_aggregation,0.6
C0023,sql_aggregate_functions,0.6
C0026,ai_policy,0.6
C0029,machine_learning,0.9
C0030,storytelling,0.9
C0032,design,0.6
C0032,creation,0.6
C0032,artifacts,0.6
C0033,product_management,0.6
C0033,a_new_product,0.6
C0036,debugging,0.9
C0036,kubernetes,0.9
C0038,leadership,0.9
C0045,engaging_content,0.6
C0045,youtube,0.6
C0046,no-code_apps,0.6
C0049,microsoft_endpoint_manager,0.6
C0049,intune,0.6
C0050,prototyping,0.9
C0052,machine_learning,0.9
C0053,sql,0.9
C0056,a_mobile_app,0.6
C0056,firebase,0.6
C0057,computer_vision,0.9
C0059,animation,0.9
C0059,unreal_engine,0.6
C0059,an_original_character,0.6
C0060,swift,0.9
C0062,statistics,0.9
C0063,a_cover_letter,0.6
C0063,an_envelope,0.6
C0063,microsoft_word,0.6
C0066,prototyping,0.9
C0066,user_interface_design,0.6
C0068,research,0.9
C0070,python,0.9
C0070,analyze_box_office_data,0.6
C0072,azure,0.9
C0074,healthcare_education,0.6
C0074,clinical_practice,0.6
C0079,research,0.9
C0083,specialized_rman_features,0.6
C0083,advanced_use_cases,0.6
C0086,calculus,0.9
C0087,accounting,0.9
C0088,google_cloud,0.9
C0089,municipal_solid_waste_management,0.6
C0089,developing_countries,0.6
C0099,google_cloud,0.9
C0101,google_cloud,0.9
C0101,developing_applications,0.6
C0101,cloud,0.6
