skill1_id,skill2_id,weight,relationship_type
regression,machine_learning,6,CO_OCCURS_WITH
regression,python,5,CO_OCCURS_WITH
regression,linear_algebra,2,CO_OCCURS_WITH
regression,logistic_regression,2,CO_OCCURS_WITH
regression,r,7,CO_OCCURS_WITH
regression,classification,4,CO_OCCURS_WITH
regression,clustering,2,CO_OCCURS_WITH
regression,statistics,2,CO_OCCURS_WITH
regression,predictive_modeling,2,CO_OCCURS_WITH
sql,database_migration_service,2,CO_OCCURS_WITH
sql,mysql_workbench,3,CO_OCCURS_WITH
sql,postgresql,2,CO_OCCURS_WITH
sql,big_data,2,CO_OCCURS_WITH
sql,java,3,CO_OCCURS_WITH
sql,data_analysis,6,CO_OCCURS_WITH
sql,azure,5,CO_OCCURS_WITH
sql,python,5,CO_OCCURS_WITH
sql,databases,2,CO_OCCURS_WITH
sql,data,2,CO_OCCURS_WITH
sql,optimization,2,CO_OCCURS_WITH
database_migration_service,postgresql,2,CO_OCCURS_WITH
gemini,bigquery,2,CO_OCCURS_WITH
gemini,customer_reviews,2,CO_OCCURS_WITH
gemini,vertex,2,CO_OCCURS_WITH
bigquery,google_cloud,2,CO_OCCURS_WITH
bigquery,data_sharing_partners,2,CO_OCCURS_WITH
machine_learning,python,17,CO_OCCURS_WITH
machine_learning,data_science,3,CO_OCCURS_WITH
machine_learning,machine,14,CO_OCCURS_WITH
machine_learning,aws,6,CO_OCCURS_WITH
machine_learning,azure,8,CO_OCCURS_WITH
machine_learning,deep_learning,3,CO_OCCURS_WITH
machine_learning,big_data,3,CO_OCCURS_WITH
machine_learning,apache_spark,2,CO_OCCURS_WITH
machine_learning,model_evaluation,9,CO_OCCURS_WITH
machine_learning,machine_learning_operations,15,CO_OCCURS_WITH
machine_learning,mlops,17,CO_OCCURS_WITH
machine_learning,science,4,CO_OCCURS_WITH
machine_learning,calculus,3,CO_OCCURS_WITH
machine_learning,machine_learning_projects,2,CO_OCCURS_WITH
machine_learning,machine_learning_models,2,CO_OCCURS_WITH
machine_learning,machine_learning_solutions,3,CO_OCCURS_WITH
machine_learning,r,6,CO_OCCURS_WITH
machine_learning,applied_machine_learning,3,CO_OCCURS_WITH
machine_learning,clustering,2,CO_OCCURS_WITH
machine_learning,fundamentals,2,CO_OCCURS_WITH
machine_learning,classification,8,CO_OCCURS_WITH
machine_learning,google_cloud,5,CO_OCCURS_WITH
machine_learning,linear_algebra,3,CO_OCCURS_WITH
machine_learning,production_machine,3,CO_OCCURS_WITH
machine_learning,français,2,CO_OCCURS_WITH
machine_learning,java,2,CO_OCCURS_WITH
machine_learning,introduction,2,CO_OCCURS_WITH
machine_learning,computer_vision,3,CO_OCCURS_WITH
machine_learning,data_analysis,2,CO_OCCURS_WITH
machine_learning,techniques,3,CO_OCCURS_WITH
machine_learning,bigquery_machine_learning,2,CO_OCCURS_WITH
machine_learning,pyspark,3,CO_OCCURS_WITH
machine_learning,statistics,2,CO_OCCURS_WITH
machine_learning,operations,2,CO_OCCURS_WITH
machine_learning,implementation,2,CO_OCCURS_WITH
storytelling,tableau,2,CO_OCCURS_WITH
storytelling,data_visualization,2,CO_OCCURS_WITH
storytelling,data_storytelling,2,CO_OCCURS_WITH
design,photography,2,CO_OCCURS_WITH
design,unreal_engine,3,CO_OCCURS_WITH
design,games,2,CO_OCCURS_WITH
design,prototyping,2,CO_OCCURS_WITH
design,reliable_cloud_infrastructure,5,CO_OCCURS_WITH
design,process,5,CO_OCCURS_WITH
design,practice,3,CO_OCCURS_WITH
design,analysis,2,CO_OCCURS_WITH
design,ux_design,3,CO_OCCURS_WITH
design,research,2,CO_OCCURS_WITH
design,canva,2,CO_OCCURS_WITH
design,build,2,CO_OCCURS_WITH
design,introduction,2,CO_OCCURS_WITH
design,unity,6,CO_OCCURS_WITH
design,object-oriented_analysis,3,CO_OCCURS_WITH
design,part,2,CO_OCCURS_WITH
design,policies,2,CO_OCCURS_WITH
design,innovation,3,CO_OCCURS_WITH
design,digital_manufacturing,2,CO_OCCURS_WITH
design,fundamentals,2,CO_OCCURS_WITH
design,clinical_trials,2,CO_OCCURS_WITH
debugging,python,2,CO_OCCURS_WITH
debugging,testing,2,CO_OCCURS_WITH
kubernetes,aws,2,CO_OCCURS_WITH
kubernetes,docker,4,CO_OCCURS_WITH
kubernetes,kubernetes_engine,2,CO_OCCURS_WITH
kubernetes,azure,3,CO_OCCURS_WITH
kubernetes,devops,3,CO_OCCURS_WITH
kubernetes,microservices,2,CO_OCCURS_WITH
leadership,agile,8,CO_OCCURS_WITH
leadership,communication,4,CO_OCCURS_WITH
prototyping,user_interface_design,2,CO_OCCURS_WITH
prototyping,research,2,CO_OCCURS_WITH
prototyping,rapid_prototyping,2,CO_OCCURS_WITH
computer_vision,azure,2,CO_OCCURS_WITH
computer_vision,deep_learning,5,CO_OCCURS_WITH
